INSTNM,CITY,STABBR,REGION,REGION_NAME,CONTROL,CONTROL_NAME,ADM_RATE,SAT_AVG,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_RATE,MD_EARN_WNE_P10
Citadel Military College of South Carolina,Charleston,SC,5,Southeast,1,Public,0.2272,1208.0,2705,12570,38508,0.75,72085
Claremont McKenna College,Claremont,CA,8,Far West,2,Private nonprofit,0.0959,1527.0,1388,67980,67980,0.9136,104736
Clemson University,Clemson,SC,5,Southeast,1,Public,0.3834,1353.0,23300,15554,40866,0.8656,71513
Coastal Carolina University,Conway,SC,5,Southeast,1,Public,0.7527,1143.0,10377,11640,29628,0.4846,47258
Colby College,Waterville,ME,1,New England,2,Private nonprofit,0.0709,1501.0,2407,69600,69600,0.8879,80490
Colgate University,Hamilton,NY,2,Mid East,2,Private nonprofit,0.1388,1508.0,3180,70306,70306,0.9117,85139
College of Charleston,Charleston,SC,5,Southeast,1,Public,0.6003,1247.0,10558,12978,38296,0.6583,56416
College of the Holy Cross,Worcester,MA,1,New England,2,Private nonprofit,0.1761,1353.0,3106,64500,64500,0.8733,90543
College of the Ozarks,Point Lookout,MO,4,Plains,2,Private nonprofit,0.1199,1118.0,1444,22320,22320,0.6369,41592
Colorado College,Colorado Springs,CO,7,Rocky Mountains,2,Private nonprofit,0.1847,1365.0,2014,70734,70734,0.8766,65222
Colorado State University-Fort Collins,Fort Collins,CO,7,Rocky Mountains,1,Public,0.8854,,25538,13373,34783,0.6651,60543
Columbia University in the City of New York,New York,NY,2,Mid East,2,Private nonprofit,0.0399,1553.0,8973,71845,71845,0.961,102491
Cornell University,Ithaca,NY,2,Mid East,2,Private nonprofit,0.0876,1535.0,15995,69314,69314,0.9538,104043
Crown College,Saint Bonifacius,MN,4,Plains,2,Private nonprofit,0.2278,,796,31410,31410,0.4539,48057
Dallas Christian College,Dallas,TX,6,Southwest,2,Private nonprofit,0.218,931.0,224,21730,21730,0.2857,43503
Dartmouth College,Hanover,NH,1,New England,2,Private nonprofit,0.054,1534.0,4541,68268,68268,0.9554,97434
Davidson College,Davidson,NC,5,Southeast,2,Private nonprofit,0.1337,1469.0,1867,64410,64410,0.9107,81400
DePaul University,Chicago,IL,3,Great Lakes,2,Private nonprofit,0.7589,1262.0,14090,45999,45999,0.678,68751
Denison University,Granville,OH,3,Great Lakes,2,Private nonprofit,0.1739,1410.0,2380,67000,67000,0.789,67753
Drexel University,Philadelphia,PA,2,Mid East,2,Private nonprofit,0.7944,1345.0,13233,62412,62412,0.7816,84648
Duke University,Durham,NC,5,Southeast,2,Private nonprofit,0.0571,1548.0,6442,68758,68758,0.9678,97800
East Carolina University,Greenville,NC,5,Southeast,1,Public,0.8921,1180.0,19896,7361,23638,0.6262,55146
East Tennessee State University,Johnson City,TN,5,Southeast,1,Public,0.8619,1144.0,10004,10472,14522,0.5321,44859
Eastern Kentucky University,Richmond,KY,5,Southeast,1,Public,0.7761,1149.0,12318,10320,21230,0.5004,45795
Eastern Michigan University,Ypsilanti,MI,3,Great Lakes,1,Public,0.7964,1066.0,10055,16240,16240,0.4644,51793
Emory University,Atlanta,GA,5,Southeast,2,Private nonprofit,0.1065,1520.0,7298,64280,64280,0.9109,80137
Florida Agricultural and Mechanical University,Tallahassee,FL,5,Southeast,1,Public,0.2056,1107.0,7582,5785,17725,0.5335,44349
Florida Atlantic University,Boca Raton,FL,5,Southeast,1,Public,0.6613,1127.0,23757,4879,17324,0.6257,56746
Florida Gulf Coast University,Fort Myers,FL,5,Southeast,1,Public,0.6344,1114.0,13874,6118,25162,0.574,54560
Florida International University,Miami,FL,5,Southeast,1,Public,0.5466,1163.0,39508,6565,18964,0.7443,60249
